Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
2.png,0.06040533333333333,0.0012352214575613199,0.0,0.5,0,jackfruit,Vgg
2.png,0.11515861694178385,0.0012352214575613199,0.0,0.5,0.1,jackfruit,Vgg
2.png,0.15527821421160287,0.0012352214575613199,0.0,0.5,0.2,jackfruit,Vgg
2.png,0.19971514480139263,0.0012352214575613199,0.0,0.5,0.3,jackfruit,Vgg
2.png,0.25245160959079943,0.0012352214575613199,0.0,0.5,0.4,jackfruit,Vgg
2.png,0.318744319373558,0.0012352214575613199,0.0,0.5,0.5,jackfruit,Vgg
2.png,0.29759767461742326,0.0012352214575613199,0.0,0.5,0.6,jackfruit,Vgg
2.png,0.20459547495378114,0.0012352214575613199,0.0,0.5,0.7,jackfruit,Vgg
2.png,0.11071870033551122,0.0012352214575613199,0.0,0.5,0.8,jackfruit,Vgg
2.png,0.0407911001236094,0.0012352214575613199,0.0,0.5,0.9,jackfruit,Vgg
2.png,0.0,0.0012352214575613199,0.0,0.5,1,jackfruit,Vgg
2.png,0.06040533333333333,0.0007063393960798164,0.0,0.6,0,jackfruit,Vgg
2.png,0.11515861694178385,0.0007063393960798164,0.0,0.6,0.1,jackfruit,Vgg
2.png,0.15527821421160287,0.0007063393960798164,0.0,0.6,0.2,jackfruit,Vgg
2.png,0.19971514480139263,0.0007063393960798164,0.0,0.6,0.3,jackfruit,Vgg
2.png,0.25245160959079943,0.0007063393960798164,0.0,0.6,0.4,jackfruit,Vgg
2.png,0.318744319373558,0.0007063393960798164,0.0,0.6,0.5,jackfruit,Vgg
2.png,0.29759767461742326,0.0007063393960798164,0.0,0.6,0.6,jackfruit,Vgg
2.png,0.20459547495378114,0.0007063393960798164,0.0,0.6,0.7,jackfruit,Vgg
2.png,0.11071870033551122,0.0007063393960798164,0.0,0.6,0.8,jackfruit,Vgg
2.png,0.0407911001236094,0.0007063393960798164,0.0,0.6,0.9,jackfruit,Vgg
2.png,0.0,0.0007063393960798164,0.0,0.6,1,jackfruit,Vgg
2.png,0.06040533333333333,0.0004414621225498852,0.0,0.7,0,jackfruit,Vgg
2.png,0.11515861694178385,0.0004414621225498852,0.0,0.7,0.1,jackfruit,Vgg
